"table_schema","table_name","column_name","ordinal_position","data_type","is_nullable","column_default"
"public","dashboard_tile_semantic_viewer_charts","dashboard_tile_uuid",2,"uuid","NO","uuid_generate_v4()"
"public","dashboard_tile_semantic_viewer_charts","saved_semantic_viewer_chart_uuid",3,"uuid","YES",NULL
"public","dashboard_tile_semantic_viewer_charts","title",4,"text","YES",NULL
"public","dashboard_tile_semantic_viewer_charts","hide_title",5,"boolean","YES","false"
"public","dashboard_tile_sql_charts","dashboard_version_id",1,"integer","NO",NULL
"public","dashboard_tile_sql_charts","dashboard_tile_uuid",2,"uuid","NO","uuid_generate_v4()"
"public","dashboard_tile_sql_charts","saved_sql_uuid",3,"uuid","YES",NULL
"public","dashboard_tile_sql_charts","title",4,"text","YES",NULL
"public","dashboard_tile_sql_charts","hide_title",5,"boolean","YES","false"
"public","dashboard_tile_types","dashboard_tile_type",1,"text","NO",NULL
"public","dashboard_tiles","dashboard_version_id",1,"integer","NO",NULL
"public","dashboard_tiles","dashboard_tile_uuid",2,"uuid","NO","uuid_generate_v4()"
"public","dashboard_tiles","type",3,"text","NO",NULL
"public","dashboard_tiles","x_offset",4,"real","NO",NULL
"public","dashboard_tiles","y_offset",5,"real","NO",NULL
"public","dashboard_tiles","height",6,"real","NO",NULL
"public","dashboard_tiles","width",7,"real","NO",NULL
"public","dashboard_tiles","tab_uuid",8,"uuid","YES",NULL
"public","dashboard_versions","dashboard_version_id",1,"integer","NO",NULL
"public","dashboard_versions","dashboard_id",2,"integer","NO",NULL
"public","dashboard_versions","created_at",3,"timestamp without time zone","NO","CURRENT_TIMESTAMP"
"public","dashboard_versions","updated_by_user_uuid",4,"uuid","YES",NULL
"public","dashboard_versions","config",5,"jsonb","YES",NULL
"public","dashboard_views","dashboard_view_uuid",1,"uuid","NO","uuid_generate_v4()"
"public","dashboard_views","created_at",2,"timestamp without time zone","NO","CURRENT_TIMESTAMP"
"public","dashboard_views","name",3,"text","NO",NULL
"public","dashboard_views","dashboard_version_id",4,"integer","NO",NULL
"public","dashboard_views","filters",5,"jsonb","NO",NULL
"public","dashboards","dashboard_id",1,"integer","NO",NULL
"public","dashboards","space_id",2,"integer","NO",NULL
"public","dashboards","name",3,"text","NO",NULL
"public","dashboards","description",4,"text","YES",NULL
"public","dashboards","created_at",5,"timestamp without time zone","NO","CURRENT_TIMESTAMP"
"public","dashboards","dashboard_uuid",6,"uuid","NO","uuid_generate_v4()"
"public","dashboards","search_vector",7,"tsvector","YES",NULL
"public","dashboards","slug",8,"text","NO",NULL
"public","dashboards","views_count",9,"integer","NO","0"
"public","dashboards","first_viewed_at",10,"timestamp with time zone","YES",NULL
"public","dbt_cloud_integrations","project_id",1,"integer","NO",NULL
"public","dbt_cloud_integrations","service_token",2,"bytea","NO",NULL
"public","dbt_cloud_integrations","metrics_job_id",3,"text","NO",NULL
"public","dbt_connection_types","dbt_connection_type",1,"character varying","NO",NULL
"public","download_files","nanoid",1,"text","NO",NULL
